generation,rateshifts,jumps,rootstate,jumpvariance
924000,0,1,0.404699,5
925000,0,3,-5.0129,5
926000,0,0,-3.36605,5
927000,0,0,0.068471,5
928000,0,0,-2.58443,5
929000,0,1,-3.03781,5
930000,0,0,-4.11152,5
931000,0,0,1.93652,5
932000,0,0,-2.54331,5
933000,0,0,1.36501,5
934000,0,0,-0.788154,5
935000,0,0,-0.168403,5
936000,0,4,-1.38589,5
937000,0,1,-2.67724,5
938000,0,1,-2.14019,5
939000,0,2,-3.04668,5
940000,0,1,-4.54779,5
941000,0,1,-0.805438,5
942000,0,2,1.76658,5
943000,0,1,-1.78092,5
944000,0,3,0.110659,5
945000,0,1,-0.970355,5
946000,0,1,-0.263859,5
947000,0,1,-0.576089,5
948000,0,3,0.207553,5
949000,0,2,-0.850831,5
950000,0,1,3.65146,5
951000,0,1,2.3077,5
952000,0,1,5.12687,5
953000,1,1,-0.015297,5
954000,0,1,-0.107731,5
955000,0,1,0.238946,5
