generation,rateshifts,jumps,rootstate,jumpvariance
389000,2,1,1.48405,0
390000,0,2,3.68711,0
391000,0,1,-1.24547,0
392000,0,1,1.81235,0
393000,0,1,1.59589,0
394000,0,1,-0.588349,0
395000,3,1,-2.54172,0
396000,0,1,-0.597101,0
397000,0,1,4.17256,0
398000,0,1,0.00780579,0
399000,1,1,0.792111,0
400000,1,1,1.71852,0
401000,0,1,1.54734,0
402000,0,1,1.27919,0
403000,1,1,2.65974,0
404000,0,1,-0.615115,0
405000,1,1,1.84451,0
406000,0,1,-1.76169,0
407000,0,1,-0.418796,0
408000,1,1,1.17949,0
409000,0,1,0.211835,0
410000,1,1,1.07829,0
411000,1,1,0.789189,0
412000,0,1,0.898568,0
413000,0,1,1.19211,0
414000,1,1,-0.16528,0
415000,1,1,1.16061,0
416000,1,1,1.83393,0
417000,2,1,0.742452,0
418000,0,1,-1.17497,0
419000,3,1,0.607539,0
420000,1,2,0.86119,0
421000,2,2,1.45137,0
422000,1,1,0.871723,0
423000,1,1,2.09484,0
424000,1,1,4.14544,0
425000,0,1,-0.378356,0
426000,1,1,0.173413,0
427000,1,1,2.40036,0
428000,1,1,1.33684,0
429000,0,1,-0.310071,0
430000,0,1,1.33141,0
431000,0,1,4.34833,0
432000,1,1,0.815231,0
433000,1,1,2.89941,0
434000,1,1,1.53533,0
435000,3,1,0.591618,0
436000,0,2,0.0265529,0
437000,0,1,4.25125,0
438000,0,1,4.25125,0
439000,0,1,0.621017,0
440000,0,1,0.621017,0
441000,0,1,3.91192,0
442000,1,1,3.91192,0
443000,0,1,0.872774,0
444000,0,1,1.36871,0
445000,1,1,1.32898,0
446000,0,1,-3.56871,0
447000,1,2,1.57234,0
448000,0,1,1.22705,0
449000,2,1,0.864834,0
450000,1,1,-0.451029,0
451000,1,1,-2.70883,0
452000,1,2,1.17961,0
453000,0,2,0.833961,0
454000,0,2,0.0941181,0
455000,1,1,-1.96043,0
456000,1,1,-1.62444,0
457000,0,1,-2.05725,0
458000,0,2,-3.68482,0
459000,0,1,-0.421546,0
460000,1,1,-3.05593,0
461000,0,1,-2.37215,0
462000,0,1,-1.35129,0
463000,0,1,-0.618909,0
464000,0,1,-0.0231364,0
465000,0,1,-0.141496,0
466000,0,1,-1.67419,0
467000,0,1,-1.67419,0
468000,1,1,-0.0664349,0
469000,0,1,-0.946683,0
470000,0,1,-0.66201,0
471000,0,1,0.937562,0
472000,0,1,0.59269,0
